Time, Variation Distance, Total Energy, Number of Interactions, Plus Nodes, Minus Nodes, Energyexchanged, LifeTime
0, 0.4990422849720632 , 1488.665 , 0.0, 15.018 , 14.972, 46.04106540489197, 2.659
200, 0.08111066965721606 , 1054.936682876587 , 74.556, 15.564 , 14.436, 46.04106540489197, 23.594616414070128
400, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
600, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
800, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
1000, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
1200, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
1400, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
1600, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
1800, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
2000, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
2200, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
2400, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
2600, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
2800, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
3000, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
3200, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
3400, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
3600, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
3800, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
4000, 0.046254714862955425 , 1019.527153585434 , 100.0, 15.919 , 14.081, 46.04106540489197, 27.379622198104858
