Time, Variation Distance, Total Energy, Number of Interactions, Plus Nodes, Minus Nodes, Energyexchanged, LifeTime
0, 0.5020515097598315 , 1488.665 , 0.0, 16.112 , 13.884, 46.04106540489197, 2.659
200, 0.4407093894357751 , 1410.6402580700815 , 4.478, 13.732 , 14.806, 46.04106540489197, 3.2620021165311335
400, 0.4239501634112896 , 1393.6919104405345 , 5.456, 13.269 , 14.854, 46.04106540489197, 3.3860170992314815
600, 0.4171688006371626 , 1387.389776092314 , 5.827, 13.081 , 14.884, 46.04106540489197, 3.4184821787110704
800, 0.41377848427385655 , 1384.41868759849 , 5.993, 12.992 , 14.898, 46.04106540489197, 3.450203150533809
1000, 0.41236437909326035 , 1383.1522625973455 , 6.062, 12.958 , 14.902, 46.04106540489197, 3.4635228831998246
1200, 0.4116240547998709 , 1382.457472956919 , 6.097, 12.942 , 14.902, 46.04106540489197, 3.4782674391499895
1400, 0.4110220779951807 , 1381.9731142981284 , 6.123, 12.931 , 14.902, 46.04106540489197, 3.4782674391499895
1600, 0.41083296082159376 , 1381.7901317656272 , 6.132, 12.927 , 14.903, 46.04106540489197, 3.4782674391499895
1800, 0.4107458175879123 , 1381.7102670271627 , 6.136, 12.93 , 14.9, 46.04106540489197, 3.4782674391499895
2000, 0.41065132885122807 , 1381.6290378096335 , 6.139, 12.927 , 14.901, 46.04106540489197, 3.4782674391499895
2200, 0.41059343149296085 , 1381.5859859183065 , 6.141, 12.926 , 14.902, 46.04106540489197, 3.4782674391499895
2400, 0.4105621118903378 , 1381.5651361372702 , 6.143, 12.924 , 14.901, 46.04106540489197, 3.4782674391499895
2600, 0.4105621118903378 , 1381.5651361372702 , 6.143, 12.924 , 14.901, 46.04106540489197, 3.4782674391499895
2800, 0.4105419045200086 , 1381.5504246237508 , 6.144, 12.923 , 14.902, 46.04106540489197, 3.4782674391499895
3000, 0.4105419045200086 , 1381.5504246237508 , 6.144, 12.923 , 14.902, 46.04106540489197, 3.4782674391499895
3200, 0.4105419045200086 , 1381.5504246237508 , 6.144, 12.923 , 14.902, 46.04106540489197, 3.4782674391499895
3400, 0.4105419045200086 , 1381.5504246237508 , 6.144, 12.923 , 14.902, 46.04106540489197, 3.4782674391499895
3600, 0.4105419045200086 , 1381.5504246237508 , 6.144, 12.923 , 14.902, 46.04106540489197, 3.4782674391499895
3800, 0.4105419045200086 , 1381.5504246237508 , 6.144, 12.923 , 14.902, 46.04106540489197, 3.4782674391499895
4000, 0.4105419045200086 , 1381.5504246237508 , 6.144, 12.923 , 14.902, 46.04106540489197, 3.4782674391499895
