Time, LE_var, LE_int, LE_Energy, OC_var, OC_int, OC_energy, OA_var, OA_int, OA_energy
0,0.07142016839241208,0.0,156.86009299691239,0.07142016839241208,0.0,156.86009299691239,0.07362607286202127,0.0,156.86009299691239
200,0.07332371600531434,2.191692496679224,164.81255435179042,0.03639018267412361,1.6401313971752391,160.78810115215413,0.02754790122055523,6.4965270722132775,150.46700321517764
400,0.07415174303483754,2.3694016122219566,165.7133435631848,0.03326677459136671,1.9059601255010568,158.92123324913223,0.017590668217569102,0.0,148.80420378497345
600,0.07426172259992007,2.45052463770515,166.42538286184578,0.03420249116537463,2.0574195002478244,158.53409160301322,0.017590668217569102,0.0,148.80420378497345
800,0.07452018091964659,2.4805142611966566,166.70554298871892,0.03462983261898384,2.1018560845119776,158.58932682981273,0.017590668217569102,0.0,148.80420378497345
1000,0.07416076722692747,2.488002411574391,167.11251399464768,0.03478465675440968,2.114039734725912,158.58706229730282,0.017590668217569102,0.0,148.80420378497345
1200,0.07430400184359019,2.499918198661707,167.02258246752322,0.03483375524506144,2.122752694027264,158.60223704205578,0.017590668217569102,0.0,148.80420378497345
1400,0.07420439363259214,2.5027726624685713,167.14191055302052,0.035025087792294116,2.1299706570748835,158.596641109543,0.017590668217569102,0.0,148.80420378497345
1600,0.07425236257624956,2.5045111299413323,167.013595367104,0.035025087792294116,2.1299706570748835,158.596641109543,0.017590668217569102,0.0,148.80420378497345
1800,0.0742692310473065,2.5038977614910625,166.98015288437318,0.035025087792294116,2.1299706570748835,158.596641109543,0.017590668217569102,0.0,148.80420378497345
2000,0.0743353747055841,2.5071256450365653,166.97592857515784,0.035025087792294116,2.1299706570748835,158.596641109543,0.017590668217569102,0.0,148.80420378497345
2200,0.07439002252584784,2.5090075727267123,166.94973709033428,0.035039913242527566,2.1328253561883628,158.5963552153978,0.017590668217569102,0.0,148.80420378497345
2400,0.07441867074171492,2.5096914152939176,166.9569074704121,0.035039913242527566,2.1328253561883628,158.5963552153978,0.017590668217569102,0.0,148.80420378497345
2600,0.07441867074171492,2.5096914152939176,166.9569074704121,0.035041299568078596,2.136143955823203,158.5963317033149,0.017590668217569102,0.0,148.80420378497345
2800,0.07443058399687774,2.5098334606104897,166.95248203929998,0.035041299568078596,2.136143955823203,158.5963317033149,0.017590668217569102,0.0,148.80420378497345
3000,0.07443058399687774,2.5098334606104897,166.95248203929998,0.035041299568078596,2.136143955823203,158.5963317033149,0.017590668217569102,0.0,148.80420378497345
3200,0.07443058399687774,2.5098334606104897,166.95248203929998,0.035041299568078596,2.136143955823203,158.5963317033149,0.017590668217569102,0.0,148.80420378497345
3400,0.07443058399687774,2.5098334606104897,166.95248203929998,0.035041299568078596,2.136143955823203,158.5963317033149,0.017590668217569102,0.0,148.80420378497345
3600,0.07443058399687774,2.5098334606104897,166.95248203929998,0.035041299568078596,2.136143955823203,158.5963317033149,0.017590668217569102,0.0,148.80420378497345
3800,0.07443058399687774,2.5098334606104897,166.95248203929998,0.035041299568078596,2.136143955823203,158.5963317033149,0.017590668217569102,0.0,148.80420378497345
